AI_Model_000001 | Base_Model: GPT | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Text Generation
AI_Model_012781 | Base_Model: GPT | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012782 | Base_Model: BERT | Type: Transformer Encoder | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_012783 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_012784 | Base_Model: Llama | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012785 | Base_Model: Mistral | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012786 | Base_Model: Claude | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_012787 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_012788 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_012789 | Base_Model: CLIP | Type: Vision-Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_012790 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012791 | Base_Model: DALL-E | Type: Generative Image Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012792 | Base_Model: YOLO | Type: Computer Vision Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_012793 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012794 | Base_Model: ViT | Type: Vision Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012795 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_012796 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_012797 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_012798 | Base_Model: AutoEncoder | Type: Generative Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_012799 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_012800 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_012801 | Base_Model: GPT | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012802 | Base_Model: BERT | Type: Transformer Encoder | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_012803 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_012804 | Base_Model: Llama | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012805 | Base_Model: Mistral | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012806 | Base_Model: Claude | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_012807 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_012808 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_012809 | Base_Model: CLIP | Type: Vision-Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_012810 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012811 | Base_Model: DALL-E | Type: Generative Image Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012812 | Base_Model: YOLO | Type: Computer Vision Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_012813 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012814 | Base_Model: ViT | Type: Vision Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012815 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_012816 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_012817 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_012818 | Base_Model: AutoEncoder | Type: Generative Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_012819 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Medium | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_012820 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Medium | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_012821 | Base_Model: GPT | Type: Large Language Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012822 | Base_Model: BERT | Type: Transformer Encoder | Size: Large | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_012823 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Large | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_012824 | Base_Model: Llama | Type: Large Language Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012825 | Base_Model: Mistral | Type: Large Language Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012826 | Base_Model: Claude | Type: Large Language Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_012827 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_012828 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_012829 | Base_Model: CLIP | Type: Vision-Language Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_012830 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012831 | Base_Model: DALL-E | Type: Generative Image Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012832 | Base_Model: YOLO | Type: Computer Vision Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_012833 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Large | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012834 | Base_Model: ViT | Type: Vision Transformer | Size: Large | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012835 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_012836 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_012837 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Large | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_012838 | Base_Model: AutoEncoder | Type: Generative Model | Size: Large | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_012839 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Large | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_012840 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Large | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_012841 | Base_Model: GPT | Type: Large Language Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012842 | Base_Model: BERT | Type: Transformer Encoder | Size: XL | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_012843 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: XL | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_012844 | Base_Model: Llama | Type: Large Language Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012845 | Base_Model: Mistral | Type: Large Language Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012846 | Base_Model: Claude | Type: Large Language Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_012847 | Base_Model: Gemini | Type: Multimodal AI Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_012848 | Base_Model: Whisper | Type: Speech Recognition Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_012849 | Base_Model: CLIP | Type: Vision-Language Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_012850 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012851 | Base_Model: DALL-E | Type: Generative Image Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012852 | Base_Model: YOLO | Type: Computer Vision Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_012853 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: XL | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012854 | Base_Model: ViT | Type: Vision Transformer | Size: XL | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012855 | Base_Model: WaveNet | Type: Generative Audio Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_012856 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_012857 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: XL | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_012858 | Base_Model: AutoEncoder | Type: Generative Model | Size: XL | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_012859 | Base_Model: GAN | Type: Generative Adversarial Network | Size: XL | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_012860 | Base_Model: RNN | Type: Recurrent Neural Network | Size: XL | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_012861 | Base_Model: GPT | Type: Large Language Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012862 | Base_Model: BERT | Type: Transformer Encoder | Size: XXL | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_012863 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: XXL | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_012864 | Base_Model: Llama | Type: Large Language Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012865 | Base_Model: Mistral | Type: Large Language Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_012866 | Base_Model: Claude | Type: Large Language Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_012867 | Base_Model: Gemini | Type: Multimodal AI Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_012868 | Base_Model: Whisper | Type: Speech Recognition Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_012869 | Base_Model: CLIP | Type: Vision-Language Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_012870 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012871 | Base_Model: DALL-E | Type: Generative Image Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_012872 | Base_Model: YOLO | Type: Computer Vision Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_012873 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: XXL | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012874 | Base_Model: ViT | Type: Vision Transformer | Size: XXL | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_012875 | Base_Model: WaveNet | Type: Generative Audio Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_012876 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_012877 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: XXL | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_012878 | Base_Model: AutoEncoder | Type: Generative Model | Size: XXL | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_012879 | Base_Model: GAN | Type: Generative Adversarial Network | Size: XXL | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_012880 | Base_Model: RNN | Type: Recurrent Neural Network | Size: XXL | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_012881 | Base_Model: GPT | Type: Large Language Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012882 | Base_Model: BERT | Type: Transformer Encoder | Size: Tiny | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012883 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Tiny | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012884 | Base_Model: Llama | Type: Large Language Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012885 | Base_Model: Mistral | Type: Large Language Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012886 | Base_Model: Claude | Type: Large Language Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012887 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012888 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012889 | Base_Model: CLIP | Type: Vision-Language Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012890 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012891 | Base_Model: DALL-E | Type: Generative Image Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012892 | Base_Model: YOLO | Type: Computer Vision Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Object Detection
AI_Model_012893 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Tiny | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012894 | Base_Model: ViT | Type: Vision Transformer | Size: Tiny | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012895 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Audio Generation
AI_Model_012896 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Speech Recognition
AI_Model_012897 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Tiny | Domain: Computer Vision | Primary_Task: Generative Modeling
AI_Model_012898 | Base_Model: AutoEncoder | Type: Generative Model | Size: Tiny | Domain: Computer Vision | Primary_Task: Representation Learning
AI_Model_012899 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Tiny | Domain: Computer Vision | Primary_Task: Synthetic Data Generation
AI_Model_012900 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Tiny | Domain: Computer Vision | Primary_Task: Sequence Modeling
AI_Model_012901 | Base_Model: GPT | Type: Large Language Model | Size: Small | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012902 | Base_Model: BERT | Type: Transformer Encoder | Size: Small | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012903 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Small | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012904 | Base_Model: Llama | Type: Large Language Model | Size: Small | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012905 | Base_Model: Mistral | Type: Large Language Model | Size: Small | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012906 | Base_Model: Claude | Type: Large Language Model | Size: Small | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012907 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Small | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012908 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Small | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012909 | Base_Model: CLIP | Type: Vision-Language Model | Size: Small | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012910 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Small | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012911 | Base_Model: DALL-E | Type: Generative Image Model | Size: Small | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012912 | Base_Model: YOLO | Type: Computer Vision Model | Size: Small | Domain: Computer Vision | Primary_Task: Object Detection
AI_Model_012913 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Small | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012914 | Base_Model: ViT | Type: Vision Transformer | Size: Small | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012915 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Small | Domain: Computer Vision | Primary_Task: Audio Generation
AI_Model_012916 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Small | Domain: Computer Vision | Primary_Task: Speech Recognition
AI_Model_012917 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Small | Domain: Computer Vision | Primary_Task: Generative Modeling
AI_Model_012918 | Base_Model: AutoEncoder | Type: Generative Model | Size: Small | Domain: Computer Vision | Primary_Task: Representation Learning
AI_Model_012919 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Small | Domain: Computer Vision | Primary_Task: Synthetic Data Generation
AI_Model_012920 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Small | Domain: Computer Vision | Primary_Task: Sequence Modeling
AI_Model_012921 | Base_Model: GPT | Type: Large Language Model | Size: Base | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012922 | Base_Model: BERT | Type: Transformer Encoder | Size: Base | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012923 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Base | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012924 | Base_Model: Llama | Type: Large Language Model | Size: Base | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012925 | Base_Model: Mistral | Type: Large Language Model | Size: Base | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012926 | Base_Model: Claude | Type: Large Language Model | Size: Base | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012927 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Base | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012928 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Base | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012929 | Base_Model: CLIP | Type: Vision-Language Model | Size: Base | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012930 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Base | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012931 | Base_Model: DALL-E | Type: Generative Image Model | Size: Base | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012932 | Base_Model: YOLO | Type: Computer Vision Model | Size: Base | Domain: Computer Vision | Primary_Task: Object Detection
AI_Model_012933 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Base | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012934 | Base_Model: ViT | Type: Vision Transformer | Size: Base | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012935 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Base | Domain: Computer Vision | Primary_Task: Audio Generation
AI_Model_012936 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Base | Domain: Computer Vision | Primary_Task: Speech Recognition
AI_Model_012937 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Base | Domain: Computer Vision | Primary_Task: Generative Modeling
AI_Model_012938 | Base_Model: AutoEncoder | Type: Generative Model | Size: Base | Domain: Computer Vision | Primary_Task: Representation Learning
AI_Model_012939 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Base | Domain: Computer Vision | Primary_Task: Synthetic Data Generation
AI_Model_012940 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Base | Domain: Computer Vision | Primary_Task: Sequence Modeling
AI_Model_012941 | Base_Model: GPT | Type: Large Language Model | Size: Medium | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012942 | Base_Model: BERT | Type: Transformer Encoder | Size: Medium | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012943 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Medium | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012944 | Base_Model: Llama | Type: Large Language Model | Size: Medium | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012945 | Base_Model: Mistral | Type: Large Language Model | Size: Medium | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012946 | Base_Model: Claude | Type: Large Language Model | Size: Medium | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012947 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Medium | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012948 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Medium | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012949 | Base_Model: CLIP | Type: Vision-Language Model | Size: Medium | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012950 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Medium | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012951 | Base_Model: DALL-E | Type: Generative Image Model | Size: Medium | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012952 | Base_Model: YOLO | Type: Computer Vision Model | Size: Medium | Domain: Computer Vision | Primary_Task: Object Detection
AI_Model_012953 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Medium | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012954 | Base_Model: ViT | Type: Vision Transformer | Size: Medium | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012955 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Medium | Domain: Computer Vision | Primary_Task: Audio Generation
AI_Model_012956 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Medium | Domain: Computer Vision | Primary_Task: Speech Recognition
AI_Model_012957 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Medium | Domain: Computer Vision | Primary_Task: Generative Modeling
AI_Model_012958 | Base_Model: AutoEncoder | Type: Generative Model | Size: Medium | Domain: Computer Vision | Primary_Task: Representation Learning
AI_Model_012959 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Medium | Domain: Computer Vision | Primary_Task: Synthetic Data Generation
AI_Model_012960 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Medium | Domain: Computer Vision | Primary_Task: Sequence Modeling
AI_Model_012961 | Base_Model: GPT | Type: Large Language Model | Size: Large | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012962 | Base_Model: BERT | Type: Transformer Encoder | Size: Large | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012963 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Large | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012964 | Base_Model: Llama | Type: Large Language Model | Size: Large | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012965 | Base_Model: Mistral | Type: Large Language Model | Size: Large | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012966 | Base_Model: Claude | Type: Large Language Model | Size: Large | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012967 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Large | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012968 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Large | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012969 | Base_Model: CLIP | Type: Vision-Language Model | Size: Large | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012970 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Large | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012971 | Base_Model: DALL-E | Type: Generative Image Model | Size: Large | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012972 | Base_Model: YOLO | Type: Computer Vision Model | Size: Large | Domain: Computer Vision | Primary_Task: Object Detection
AI_Model_012973 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Large | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012974 | Base_Model: ViT | Type: Vision Transformer | Size: Large | Domain: Computer Vision | Primary_Task: Image Classification
AI_Model_012975 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Large | Domain: Computer Vision | Primary_Task: Audio Generation
AI_Model_012976 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Large | Domain: Computer Vision | Primary_Task: Speech Recognition
AI_Model_012977 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Large | Domain: Computer Vision | Primary_Task: Generative Modeling
AI_Model_012978 | Base_Model: AutoEncoder | Type: Generative Model | Size: Large | Domain: Computer Vision | Primary_Task: Representation Learning
AI_Model_012979 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Large | Domain: Computer Vision | Primary_Task: Synthetic Data Generation
AI_Model_012980 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Large | Domain: Computer Vision | Primary_Task: Sequence Modeling
AI_Model_012981 | Base_Model: GPT | Type: Large Language Model | Size: XL | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012982 | Base_Model: BERT | Type: Transformer Encoder | Size: XL | Domain: Computer Vision | Primary_Task: Text Classification
AI_Model_012983 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: XL | Domain: Computer Vision | Primary_Task: Text Transformation
AI_Model_012984 | Base_Model: Llama | Type: Large Language Model | Size: XL | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012985 | Base_Model: Mistral | Type: Large Language Model | Size: XL | Domain: Computer Vision | Primary_Task: Text Generation
AI_Model_012986 | Base_Model: Claude | Type: Large Language Model | Size: XL | Domain: Computer Vision | Primary_Task: Conversational AI
AI_Model_012987 | Base_Model: Gemini | Type: Multimodal AI Model | Size: XL | Domain: Computer Vision | Primary_Task: Multimodal Generation
AI_Model_012988 | Base_Model: Whisper | Type: Speech Recognition Model | Size: XL | Domain: Computer Vision | Primary_Task: Speech-to-Text
AI_Model_012989 | Base_Model: CLIP | Type: Vision-Language Model | Size: XL | Domain: Computer Vision | Primary_Task: Image-Text Understanding
AI_Model_012990 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: XL | Domain: Computer Vision | Primary_Task: Image Generation
AI_Model_012991 | Base_Model: DALL-E | Type: Generative Image Model | Size: XL | Domain: Computer Vision | Primary_Task: Image Generation
